Accession,Organism_Name,GenBank_RefSeq,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
PQ798016.1,Influenza A virus,GenBank,GCA_046438475.1,SRR31347617,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032191-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2151,partial,H5N1,3,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-30,SAMN44727534,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032191-003-original/2024(H5N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds"
PQ798017.1,Influenza A virus,GenBank,GCA_046438475.1,SRR31347617,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032191-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1704,partial,H5N1,4,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-30,SAMN44727534,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032191-003-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"
PQ798018.1,Influenza A virus,GenBank,GCA_046438475.1,SRR31347617,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032191-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1497,partial,H5N1,5,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-30,SAMN44727534,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032191-003-original/2024(H5N1)) segment 5 nucleocapsid protein (NP) gene, complete cds"
PQ798019.1,Influenza A virus,GenBank,GCA_046438475.1,SRR31347617,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032191-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1410,partial,H5N1,6,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-30,SAMN44727534,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032191-003-original/2024(H5N1)) segment 6 neuraminidase (NA) gene, complete cds"
PQ798020.1,Influenza A virus,GenBank,GCA_046438475.1,SRR31347617,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032191-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),982,partial,H5N1,7,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-30,SAMN44727534,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032191-003-original/2024(H5N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
PQ798021.1,Influenza A virus,GenBank,GCA_046438475.1,SRR31347617,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032191-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),838,partial,H5N1,8,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-30,SAMN44727534,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032191-003-original/2024(H5N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds"
PQ798022.1,Influenza A virus,GenBank,GCA_046437285.1,SRR31347616,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032191-004-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2280,partial,H5N1,1,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-30,SAMN44727535,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032191-004-original/2024(H5N1)) segment 1 polymerase PB2 (PB2) gene, complete cds"
PQ798023.1,Influenza A virus,GenBank,GCA_046437285.1,SRR31347616,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032191-004-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2274,partial,H5N1,2,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-30,SAMN44727535,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032191-004-original/2024(H5N1)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
PQ798024.1,Influenza A virus,GenBank,GCA_046437285.1,SRR31347616,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032191-004-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2151,partial,H5N1,3,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-30,SAMN44727535,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032191-004-original/2024(H5N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds"
PQ798025.1,Influenza A virus,GenBank,GCA_046437285.1,SRR31347616,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032191-004-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1704,partial,H5N1,4,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-30,SAMN44727535,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032191-004-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"
PQ798026.1,Influenza A virus,GenBank,GCA_046437285.1,SRR31347616,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032191-004-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1497,partial,H5N1,5,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-30,SAMN44727535,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032191-004-original/2024(H5N1)) segment 5 nucleocapsid protein (NP) gene, complete cds"
PQ798027.1,Influenza A virus,GenBank,GCA_046437285.1,SRR31347616,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032191-004-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1410,partial,H5N1,6,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-30,SAMN44727535,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032191-004-original/2024(H5N1)) segment 6 neuraminidase (NA) gene, complete cds"
PQ798028.1,Influenza A virus,GenBank,GCA_046437285.1,SRR31347616,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032191-004-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),982,partial,H5N1,7,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-30,SAMN44727535,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032191-004-original/2024(H5N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
PQ798029.1,Influenza A virus,GenBank,GCA_046437285.1,SRR31347616,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032191-004-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),838,partial,H5N1,8,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-30,SAMN44727535,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032191-004-original/2024(H5N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds"
PQ798030.1,Influenza A virus,GenBank,GCA_046437015.1,SRR31347628,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032192-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2280,partial,H5N1,1,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-28,SAMN44727536,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032192-001-original/2024(H5N1)) segment 1 polymerase PB2 (PB2) gene, complete cds"
PQ798031.1,Influenza A virus,GenBank,GCA_046437015.1,SRR31347628,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032192-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2274,partial,H5N1,2,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-28,SAMN44727536,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032192-001-original/2024(H5N1)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
PQ798032.1,Influenza A virus,GenBank,GCA_046437015.1,SRR31347628,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032192-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2151,partial,H5N1,3,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-28,SAMN44727536,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032192-001-original/2024(H5N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds"
PQ798033.1,Influenza A virus,GenBank,GCA_046437015.1,SRR31347628,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032192-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1704,partial,H5N1,4,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-28,SAMN44727536,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032192-001-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"
PQ798034.1,Influenza A virus,GenBank,GCA_046437015.1,SRR31347628,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032192-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1497,partial,H5N1,5,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-28,SAMN44727536,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032192-001-original/2024(H5N1)) segment 5 nucleocapsid protein (NP) gene, complete cds"
PQ798035.1,Influenza A virus,GenBank,GCA_046437015.1,SRR31347628,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032192-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1410,partial,H5N1,6,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-28,SAMN44727536,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032192-001-original/2024(H5N1)) segment 6 neuraminidase (NA) gene, complete cds"
PQ798036.1,Influenza A virus,GenBank,GCA_046437015.1,SRR31347628,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032192-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),982,partial,H5N1,7,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-28,SAMN44727536,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032192-001-original/2024(H5N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
PQ798037.1,Influenza A virus,GenBank,GCA_046437015.1,SRR31347628,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032192-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),838,partial,H5N1,8,,USA: WA,USA,WA,Gallus gallus,oronasopharynx,2024-10-28,SAMN44727536,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032192-001-original/2024(H5N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds"
PQ798038.1,Influenza A virus,GenBank,GCA_046438975.1,SRR31597126,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032809-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2280,partial,H5N1,1,,USA: WA,USA,WA,Gallus gallus,feces,2024-11-05,SAMN45128755,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032809-001-original/2024(H5N1)) segment 1 polymerase PB2 (PB2) gene, complete cds"
PQ798039.1,Influenza A virus,GenBank,GCA_046438975.1,SRR31597126,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032809-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2274,partial,H5N1,2,,USA: WA,USA,WA,Gallus gallus,feces,2024-11-05,SAMN45128755,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032809-001-original/2024(H5N1)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
PQ798040.1,Influenza A virus,GenBank,GCA_046438975.1,SRR31597126,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032809-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2151,partial,H5N1,3,,USA: WA,USA,WA,Gallus gallus,feces,2024-11-05,SAMN45128755,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032809-001-original/2024(H5N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds"
PQ798041.1,Influenza A virus,GenBank,GCA_046438975.1,SRR31597126,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032809-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1704,partial,H5N1,4,,USA: WA,USA,WA,Gallus gallus,feces,2024-11-05,SAMN45128755,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032809-001-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"
PQ798042.1,Influenza A virus,GenBank,GCA_046438975.1,SRR31597126,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032809-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1497,partial,H5N1,5,,USA: WA,USA,WA,Gallus gallus,feces,2024-11-05,SAMN45128755,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032809-001-original/2024(H5N1)) segment 5 nucleocapsid protein (NP) gene, complete cds"
PQ798043.1,Influenza A virus,GenBank,GCA_046438975.1,SRR31597126,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032809-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1410,partial,H5N1,6,,USA: WA,USA,WA,Gallus gallus,feces,2024-11-05,SAMN45128755,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032809-001-original/2024(H5N1)) segment 6 neuraminidase (NA) gene, complete cds"
PQ798044.1,Influenza A virus,GenBank,GCA_046438975.1,SRR31597126,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032809-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),982,partial,H5N1,7,,USA: WA,USA,WA,Gallus gallus,feces,2024-11-05,SAMN45128755,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032809-001-original/2024(H5N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
PQ798045.1,Influenza A virus,GenBank,GCA_046438975.1,SRR31597126,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032809-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),838,partial,H5N1,8,,USA: WA,USA,WA,Gallus gallus,feces,2024-11-05,SAMN45128755,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032809-001-original/2024(H5N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds"
PQ798046.1,Influenza A virus,GenBank,GCA_046437865.1,SRR31597125,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032809-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2280,partial,H5N1,1,,USA: WA,USA,WA,Gallus gallus,feces,2024-11-05,SAMN45128756,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032809-002-original/2024(H5N1)) segment 1 polymerase PB2 (PB2) gene, complete cds"
PQ798047.1,Influenza A virus,GenBank,GCA_046437865.1,SRR31597125,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032809-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2274,partial,H5N1,2,,USA: WA,USA,WA,Gallus gallus,feces,2024-11-05,SAMN45128756,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032809-002-original/2024(H5N1)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
PQ798048.1,Influenza A virus,GenBank,GCA_046437865.1,SRR31597125,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032809-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2151,partial,H5N1,3,,USA: WA,USA,WA,Gallus gallus,feces,2024-11-05,SAMN45128756,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032809-002-original/2024(H5N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds"
PQ798049.1,Influenza A virus,GenBank,GCA_046437865.1,SRR31597125,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032809-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1704,partial,H5N1,4,,USA: WA,USA,WA,Gallus gallus,feces,2024-11-05,SAMN45128756,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032809-002-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"
PQ798050.1,Influenza A virus,GenBank,GCA_046437865.1,SRR31597125,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032809-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1497,partial,H5N1,5,,USA: WA,USA,WA,Gallus gallus,feces,2024-11-05,SAMN45128756,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032809-002-original/2024(H5N1)) segment 5 nucleocapsid protein (NP) gene, complete cds"
PQ798051.1,Influenza A virus,GenBank,GCA_046437865.1,SRR31597125,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032809-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1410,partial,H5N1,6,,USA: WA,USA,WA,Gallus gallus,feces,2024-11-05,SAMN45128756,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032809-002-original/2024(H5N1)) segment 6 neuraminidase (NA) gene, complete cds"
PQ798052.1,Influenza A virus,GenBank,GCA_046437865.1,SRR31597125,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032809-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),982,partial,H5N1,7,,USA: WA,USA,WA,Gallus gallus,feces,2024-11-05,SAMN45128756,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032809-002-original/2024(H5N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
PQ798053.1,Influenza A virus,GenBank,GCA_046437865.1,SRR31597125,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032809-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),838,partial,H5N1,8,,USA: WA,USA,WA,Gallus gallus,feces,2024-11-05,SAMN45128756,PRJNA980729,"Influenza A virus (A/chicken/WA/24-032809-002-original/2024(H5N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds"
PQ798062.1,Influenza A virus,GenBank,GCA_046438145.1,SRR31347621,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032167-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2280,partial,H5N1,1,,USA: OR,USA,OR,Anatidae,feces,2024-10-28,SAMN44727530,PRJNA980729,"Influenza A virus (A/goose/OR/24-032167-001-original/2024(H5N1)) segment 1 polymerase PB2 (PB2) gene, complete cds"
PQ798063.1,Influenza A virus,GenBank,GCA_046438145.1,SRR31347621,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2024-12-23,24-032167-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2274,partial,H5N1,2,,USA: OR,USA,OR,Anatidae,feces,2024-10-28,SAMN44727530,PRJNA980729,"Influenza A virus (A/goose/OR/24-032167-001-original/2024(H5N1)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
